Expe     faulty     trusty     Strat     rho     resilience     ttC     sm     round     comment
0        8        0        aupe-merge        rho0        7.49375        104        100        201        RAS
0        8        1        aupe-merge        rho0        7.44375        104        100        201        RAS
0        8        5        aupe-merge        rho0        7.55        108        100        201        RAS
0        8        10        aupe-merge        rho0        7.64375        110        100        201        RAS
0        8        20        aupe-merge        rho0        7.5375        110        100        201        RAS
0        8        30        aupe-merge        rho0        7.575        110        100        201        RAS
0        8        100        aupe-merge        rho0        7.23125        97        100        201        RAS
0        8        global        aupe-merge        rho0        7.23125        97        100        201        RAS
1        10        0        aupe-merge        rho0        9.4        113        100        201        RAS
1        10        1        aupe-merge        rho0        9.35625        113        100        201        RAS
1        10        5        aupe-merge        rho0        9.425        116        100        201        RAS
1        10        10        aupe-merge        rho0        9.625        120        100        201        RAS
1        10        20        aupe-merge        rho0        9.60625        120        100        201        RAS
1        10        30        aupe-merge        rho0        9.6        119        100        201        RAS
1        10        100        aupe-merge        rho0        9.05625        102        100        201        RAS
1        10        global        aupe-merge        rho0        9.05625        102        100        201        RAS
2        12        0        aupe-merge        rho0        11.35        123        100        201        RAS
2        12        1        aupe-merge        rho0        11.36875        123        100        201        RAS
2        12        5        aupe-merge        rho0        11.55625        128        100        201        RAS
2        12        10        aupe-merge        rho0        11.6875        130        100        201        RAS
2        12        20        aupe-merge        rho0        11.7        130        100        201        RAS
2        12        30        aupe-merge        rho0        11.66875        130        100        201        RAS
2        12        100        aupe-merge        rho0        10.95        110        100        201        RAS
2        12        global        aupe-merge        rho0        10.95        110        100        201        RAS
3        14        0        aupe-merge        rho0        13.45625        134        100        201        RAS
3        14        1        aupe-merge        rho0        13.50625        133        100        201        RAS
3        14        5        aupe-merge        rho0        13.75625        138        100        201        RAS
3        14        10        aupe-merge        rho0        14.0375        143        100        201        RAS
3        14        20        aupe-merge        rho0        14.1125        145        100        201        RAS
3        14        30        aupe-merge        rho0        13.96875        143        100        201        RAS
3        14        100        aupe-merge        rho0        12.825        118        100        201        RAS
3        14        global        aupe-merge        rho0        12.825        118        100        201        RAS
4        16        0        aupe-merge        rho0        15.925        147        100        201        RAS
4        16        1        aupe-merge        rho0        15.89375        147        100        201        RAS
4        16        5        aupe-merge        rho0        16.28125        152        100        201        RAS
4        16        10        aupe-merge        rho0        16.6375        157        100        201        RAS
4        16        20        aupe-merge        rho0        16.85        159        100        201        RAS
4        16        30        aupe-merge        rho0        16.6125        157        100        201        RAS
4        16        100        aupe-merge        rho0        15.06875        128        100        201        RAS
4        16        global        aupe-merge        rho0        15.06875        128        100        201        RAS
5        18        0        aupe-merge        rho0        18.75625        162        100        201        RAS
5        18        1        aupe-merge        rho0        18.54375        161        100        201        RAS
5        18        5        aupe-merge        rho0        19.28125        169        100        201        RAS
5        18        10        aupe-merge        rho0        19.80625        174        100        201        RAS
5        18        20        aupe-merge        rho0        20.0375        176        100        201        RAS
5        18        30        aupe-merge        rho0        19.64375        172        100        201        RAS
5        18        100        aupe-merge        rho0        17.275        140        100        201        RAS
5        18        global        aupe-merge        rho0        17.275        140        100        201        RAS
6        20        0        aupe-merge        rho0        22.25625        180        100        201        RAS
6        20        1        aupe-merge        rho0        22.40625        181        100        201        RAS
6        20        5        aupe-merge        rho0        23.24375        188        100        201        RAS
6        20        10        aupe-merge        rho0        24.04375        194        100        201        RAS
6        20        20        aupe-merge        rho0        24.4375        197        100        201        RAS
6        20        30        aupe-merge        rho0        23.85        192        100        201        RAS
6        20        100        aupe-merge        rho0        20.05        153        100        201        RAS
6        20        global        aupe-merge        rho0        20.05        153        100        201        RAS
7        22        0        aupe-merge        rho0        27.26875        200        100        201        RAS
7        22        1        aupe-merge        rho0        27.325        200        100        201        RAS
7        22        5        aupe-merge        rho0        28.46875        201        100        201        RAS
7        22        10        aupe-merge        rho0        30.13125        201        100        201        RAS
7        22        20        aupe-merge        rho0        30.16875        201        100        201        RAS
7        22        30        aupe-merge        rho0        29.6375        201        100        201        RAS
7        22        100        aupe-merge        rho0        23.18125        168        100        201        RAS
7        22        global        aupe-merge        rho0        23.18125        168        100        201        RAS
8        24        0        aupe-merge        rho0        34.575        201        100        201        RAS
8        24        1        aupe-merge        rho0        34.9375        201        100        201        RAS
8        24        5        aupe-merge        rho0        36.2        201        100        201        RAS
8        24        10        aupe-merge        rho0        37.95        201        100        201        RAS
8        24        20        aupe-merge        rho0        39.5125        201        100        201        RAS
8        24        30        aupe-merge        rho0        38        201        100        201        RAS
8        24        100        aupe-merge        rho0        27.86875        188        100        201        RAS
8        24        global        aupe-merge        rho0        27.86875        188        100        201        RAS
9        26        0        aupe-merge        rho0        46.45625        201        100        201        RAS
9        26        1        aupe-merge        rho0        46.65625        201        100        201        RAS
9        26        5        aupe-merge        rho0        48.55625        201        100        201        RAS
9        26        10        aupe-merge        rho0        49.83125        201        100        201        RAS
9        26        20        aupe-merge        rho0        50.31875        201        100        201        RAS
9        26        30        aupe-merge        rho0        47.88125        201        100        201        RAS
9        26        100        aupe-merge        rho0        33.85625        201        100        201        RAS
9        26        global        aupe-merge        rho0        33.85625        201        100        201        RAS
10        28        0        aupe-merge        rho0        61.6875        201        100        201        RAS
10        28        1        aupe-merge        rho0        61.3        201        100        201        RAS
10        28        5        aupe-merge        rho0        62.90625        201        100        201        RAS
10        28        10        aupe-merge        rho0        64.01875        201        100        201        RAS
10        28        20        aupe-merge        rho0        63.45625        201        100        201        RAS
10        28        30        aupe-merge        rho0        61.51875        201        100        201        RAS
10        28        100        aupe-merge        rho0        42.60625        201        100        201        RAS
10        28        global        aupe-merge        rho0        42.60625        201        100        201        RAS
11        30        0        aupe-merge        rho0        74.81875        201        100        201        RAS
11        30        1        aupe-merge        rho0        74.375        201        100        201        RAS
11        30        5        aupe-merge        rho0        74.95625        201        100        201        RAS
11        30        10        aupe-merge        rho0        67.45        231        100        231        RAS
11        30        20        aupe-merge        rho0        74.7875        201        100        201        RAS
11        30        30        aupe-merge        rho0        71.81875        201        100        201        RAS
11        30        100        aupe-merge        rho0        52.95625        201        100        201        RAS
11        30        global        aupe-merge        rho0        52.95625        201        100        201        RAS
12        32        0        aupe-merge        rho0        82.66875        201        100        201        RAS
12        32        1        aupe-merge        rho0        82.7875        201        100        201        RAS
12        32        5        aupe-merge        rho0        83.075        201        100        201        RAS
12        32        10        aupe-merge        rho0        83.65        201        100        201        RAS
12        32        20        aupe-merge        rho0        82.7625        201        100        201        RAS
12        32        30        aupe-merge        rho0        80.6125        201        100        201        RAS
12        32        100        aupe-merge        rho0        63.05        201        100        201        RAS
12        32        global        aupe-merge        rho0        63.05        201        100        201        RAS
13        34        0        aupe-merge        rho0        87.2625        201        100        201        RAS
13        34        1        aupe-merge        rho0        87.54375        201        100        201        RAS
13        34        5        aupe-merge        rho0        87.625        201        100        201        RAS
13        34        10        aupe-merge        rho0        87.93125        201        100        201        RAS
13        34        20        aupe-merge        rho0        86.51875        201        100        201        RAS
13        34        30        aupe-merge        rho0        85.2875        201        100        201        RAS
13        34        100        aupe-merge        rho0        72.86875        201        100        201        RAS
13        34        global        aupe-merge        rho0        72.86875        201        100        201        RAS
14        36        0        aupe-merge        rho0        90.50625        201        100        201        RAS
14        36        1        aupe-merge        rho0        90.34375        201        100        201        RAS
14        36        5        aupe-merge        rho0        90.3375        201        100        201        RAS
14        36        10        aupe-merge        rho0        90.38125        201        100        201        RAS
14        36        20        aupe-merge        rho0        89.5875        201        100        201        RAS
14        36        30        aupe-merge        rho0        88.55625        201        100        201        RAS
14        36        100        aupe-merge        rho0        79.74375        201        100        201        RAS
14        36        global        aupe-merge        rho0        79.74375        201        100        201        RAS
15        38        0        aupe-merge        rho0        92.45        201        100        201        RAS
15        38        1        aupe-merge        rho0        92.25        201        100        201        RAS
15        38        5        aupe-merge        rho0        92.45        201        100        201        RAS
15        38        10        aupe-merge        rho0        92.275        201        100        201        RAS
15        38        20        aupe-merge        rho0        91.89375        201        100        201        RAS
15        38        30        aupe-merge        rho0        90.78125        201        100        201        RAS
15        38        100        aupe-merge        rho0        83.78125        201        100        201        RAS
15        38        global        aupe-merge        rho0        83.78125        201        100        201        RAS
16        40        0        aupe-merge        rho0        93.88125        201        100        201        RAS
16        40        1        aupe-merge        rho0        93.64375        201        100        201        RAS
16        40        5        aupe-merge        rho0        93.76875        201        100        201        RAS
16        40        10        aupe-merge        rho0        93.6375        201        100        201        RAS
16        40        20        aupe-merge        rho0        93.1625        201        100        201        RAS
16        40        30        aupe-merge        rho0        92.35        201        100        201        RAS
16        40        100        aupe-merge        rho0        86.8125        201        100        201        RAS
16        40        global        aupe-merge        rho0        86.8125        201        100        201        RAS
17        42        0        aupe-merge        rho0        94.7875        201        100        201        RAS
17        42        1        aupe-merge        rho0        94.775        201        100        201        RAS
17        42        5        aupe-merge        rho0        94.8        201        100        201        RAS
17        42        10        aupe-merge        rho0        94.68125        201        100        201        RAS
17        42        20        aupe-merge        rho0        94.39375        201        100        201        RAS
17        42        30        aupe-merge        rho0        93.8125        201        100        201        RAS
17        42        100        aupe-merge        rho0        89.625        201        100        201        RAS
17        42        global        aupe-merge        rho0        89.625        201        100        201        RAS
18        44        0        aupe-merge        rho0        95.54375        201        100        201        RAS
18        44        1        aupe-merge        rho0        95.55625        201        100        201        RAS
18        44        5        aupe-merge        rho0        95.5625        201        100        201        RAS
18        44        10        aupe-merge        rho0        95.56875        201        100        201        RAS
18        44        20        aupe-merge        rho0        95.2125        201        100        201        RAS
18        44        30        aupe-merge        rho0        94.6        201        100        201        RAS
18        44        100        aupe-merge        rho0        91.84375        201        100        201        RAS
18        44        global        aupe-merge        rho0        91.84375        201        100        201        RAS
19        46        0        aupe-merge        rho0        96.25        201        100        201        RAS
19        46        1        aupe-merge        rho0        96.1625        201        100        201        RAS
19        46        5        aupe-merge        rho0        96.175        201        100        201        RAS
19        46        10        aupe-merge        rho0        96.23125        201        100        201        RAS
19        46        20        aupe-merge        rho0        95.9125        201        100        201        RAS
19        46        30        aupe-merge        rho0        95.375        201        100        201        RAS
19        46        100        aupe-merge        rho0        93.225        201        100        201        RAS
19        46        global        aupe-merge        rho0        93.225        201        100        201        RAS
20        48        0        aupe-merge        rho0        96.725        201        100        201        RAS
20        48        1        aupe-merge        rho0        96.70625        201        100        201        RAS
20        48        5        aupe-merge        rho0        96.6875        201        100        201        RAS
20        48        10        aupe-merge        rho0        96.7125        201        100        201        RAS
20        48        20        aupe-merge        rho0        96.5125        201        100        201        RAS
20        48        30        aupe-merge        rho0        96.0375        201        100        201        RAS
20        48        100        aupe-merge        rho0        94.16875        201        100        201        RAS
20        48        global        aupe-merge        rho0        94.16875        201        100        201        RAS
21        50        0        aupe-merge        rho0        97.15625        201        100        201        RAS
21        50        1        aupe-merge        rho0        97.18125        201        100        201        RAS
21        50        5        aupe-merge        rho0        97.13125        201        100        201        RAS
21        50        10        aupe-merge        rho0        97.19375        201        100        201        RAS
21        50        20        aupe-merge        rho0        96.96875        201        100        201        RAS
0        8        0        aupe-merge        rho1        9.93125        175        100        201        RAS
0        8        1        aupe-merge        rho1        9.85625        191        100        201        RAS
0        8        5        aupe-merge        rho1        9.91875        185        100        201        RAS
0        8        10        aupe-merge        rho1        10.05625        201        100        201        RAS
0        8        20        aupe-merge        rho1        10.18125        201        100        201        RAS
0        8        30        aupe-merge        rho1        10.11875        201        100        201        RAS
0        8        100        aupe-merge        rho1        9.6        149        100        201        RAS
0        8        global        aupe-merge        rho1        9.6        149        100        201        RAS
1        10        0        aupe-merge        rho1        12.3875        188        100        201        RAS
1        10        1        aupe-merge        rho1        12.36875        184        100        201        RAS
1        10        5        aupe-merge        rho1        12.4875        200        100        201        RAS
1        10        10        aupe-merge        rho1        12.675        201        100        201        RAS
1        10        20        aupe-merge        rho1        12.78125        201        100        201        RAS
1        10        30        aupe-merge        rho1        12.76875        201        100        201        RAS
1        10        100        aupe-merge        rho1        12.03125        166        100        201        RAS
1        10        global        aupe-merge        rho1        12.03125        166        100        201        RAS
2        12        0        aupe-merge        rho1        14.9625        199        100        201        RAS
2        12        1        aupe-merge        rho1        14.8625        193        100        201        RAS
2        12        5        aupe-merge        rho1        15.1        201        100        201        RAS
2        12        10        aupe-merge        rho1        15.4125        201        100        201        RAS
2        12        20        aupe-merge        rho1        15.5        201        100        201        RAS
2        12        30        aupe-merge        rho1        15.5125        201        100        201        RAS
2        12        100        aupe-merge        rho1        14.6375        178        100        201        RAS
2        12        global        aupe-merge        rho1        14.6375        178        100        201        RAS
3        14        0        aupe-merge        rho1        17.76875        201        100        201        RAS
3        14        1        aupe-merge        rho1        17.75        201        100        201        RAS
3        14        5        aupe-merge        rho1        18.15        201        100        201        RAS
3        14        10        aupe-merge        rho1        18.63125        201        100        201        RAS
3        14        20        aupe-merge        rho1        19.05        201        100        201        RAS
3        14        30        aupe-merge        rho1        18.85        201        100        201        RAS
3        14        100        aupe-merge        rho1        17.2875        191        100        201        RAS
3        14        global        aupe-merge        rho1        17.2875        191        100        201        RAS
4        16        0        aupe-merge        rho1        21.63125        201        100        201        RAS
4        16        1        aupe-merge        rho1        21.41875        201        100        201        RAS
4        16        5        aupe-merge        rho1        22.4        201        100        201        RAS
4        16        10        aupe-merge        rho1        23.5        201        100        201        RAS
4        16        20        aupe-merge        rho1        23.4875        201        100        201        RAS
4        16        30        aupe-merge        rho1        23.26875        201        100        201        RAS
4        16        100        aupe-merge        rho1        20.3125        201        100        201        RAS
4        16        global        aupe-merge        rho1        20.3125        201        100        201        RAS
5        18        0        aupe-merge        rho1        29.3125        201        100        201        RAS
5        18        1        aupe-merge        rho1        29.04375        201        100        201        RAS
5        18        5        aupe-merge        rho1        30.54375        201        100        201        RAS
5        18        10        aupe-merge        rho1        32.2625        201        100        201        RAS
5        18        20        aupe-merge        rho1        32.675        201        100        201        RAS
5        18        30        aupe-merge        rho1        30.875        201        100        201        RAS
5        18        100        aupe-merge        rho1        23.93125        201        100        201        RAS
5        18        global        aupe-merge        rho1        23.93125        201        100        201        RAS
6        20        0        aupe-merge        rho1        56.14375        201        100        201        RAS
6        20        1        aupe-merge        rho1        55.25625        201        100        201        RAS
6        20        5        aupe-merge        rho1        57.65625        201        100        201        RAS
6        20        10        aupe-merge        rho1        59.40625        201        100        201        RAS
6        20        20        aupe-merge        rho1        53.975        201        100        201        RAS
6        20        30        aupe-merge        rho1        48.975        201        100        201        RAS
6        20        100        aupe-merge        rho1        29.25        201        100        201        RAS
6        20        global        aupe-merge        rho1        29.25        201        100        201        RAS
7        22        0        aupe-merge        rho1        91.93125        201        100        201        RAS
7        22        1        aupe-merge        rho1        92.10625        201        100        201        RAS
7        22        5        aupe-merge        rho1        92.09375        201        100        201        RAS
7        22        10        aupe-merge        rho1        91.03125        201        100        201        RAS
7        22        20        aupe-merge        rho1        86.05        201        100        201        RAS
7        22        30        aupe-merge        rho1        79.65625        201        100        201        RAS
7        22        100        aupe-merge        rho1        37.14375        201        100        201        RAS
7        22        global        aupe-merge        rho1        37.14375        201        100        201        RAS
8        24        0        aupe-merge        rho1        97.33125        201        100        201        RAS
8        24        1        aupe-merge        rho1        97.3375        201        100        201        RAS
8        24        5        aupe-merge        rho1        97.24375        201        100        201        RAS
8        24        10        aupe-merge        rho1        96.65625        201        100        201        RAS
8        24        20        aupe-merge        rho1        94.9        201        100        201        RAS
8        24        30        aupe-merge        rho1        91.88125        201        100        201        RAS
8        24        100        aupe-merge        rho1        50.51875        201        100        201        RAS
8        24        global        aupe-merge        rho1        50.51875        201        100        201        RAS
9        26        0        aupe-merge        rho1        98.6125        201        100        201        RAS
9        26        1        aupe-merge        rho1        98.64375        201        100        201        RAS
9        26        5        aupe-merge        rho1        98.56875        201        100        201        RAS
9        26        10        aupe-merge        rho1        98.3        201        100        201        RAS
9        26        20        aupe-merge        rho1        97.1625        201        100        201        RAS
9        26        30        aupe-merge        rho1        95.35        201        100        201        RAS
9        26        100        aupe-merge        rho1        68.175        201        100        201        RAS
9        26        global        aupe-merge        rho1        68.175        201        100        201        RAS
10        28        0        aupe-merge        rho1        99.1875        201        100        201        RAS
10        28        1        aupe-merge        rho1        99.175        201        100        201        RAS
10        28        5        aupe-merge        rho1        99.11875        201        100        201        RAS
10        28        10        aupe-merge        rho1        98.89375        201        100        201        RAS
10        28        20        aupe-merge        rho1        97.975        201        100        201        RAS
10        28        30        aupe-merge        rho1        96.86875        201        100        201        RAS
10        28        100        aupe-merge        rho1        80.06875        201        100        201        RAS
10        28        global        aupe-merge        rho1        80.06875        201        100        201        RAS
11        30        0        aupe-merge        rho1        99.45        201        100        201        RAS
11        30        1        aupe-merge        rho1        99.45        201        100        201        RAS
11        30        5        aupe-merge        rho1        99.36875        201        100        201        RAS
11        30        10        aupe-merge        rho1        99.24375        201        100        201        RAS
11        30        20        aupe-merge        rho1        98.56875        201        100        201        RAS
11        30        30        aupe-merge        rho1        97.5875        201        100        201        RAS
11        30        100        aupe-merge        rho1        88.10625        201        100        201        RAS
11        30        global        aupe-merge        rho1        88.10625        201        100        201        RAS
12        32        0        aupe-merge        rho1        99.6        201        100        201        RAS
12        32        1        aupe-merge        rho1        99.60625        201        100        201        RAS
12        32        5        aupe-merge        rho1        99.6125        201        100        201        RAS
12        32        10        aupe-merge        rho1        99.41875        201        100        201        RAS
12        32        20        aupe-merge        rho1        98.8625        201        100        201        RAS
12        32        30        aupe-merge        rho1        98.08125        201        100        201        RAS
12        32        100        aupe-merge        rho1        90.4875        201        100        201        RAS
12        32        global        aupe-merge        rho1        90.4875        201        100        201        RAS
13        34        0        aupe-merge        rho1        99.725        201        100        201        RAS
13        34        1        aupe-merge        rho1        99.7125        201        100        201        RAS
13        34        5        aupe-merge        rho1        99.7        201        100        201        RAS
13        34        10        aupe-merge        rho1        99.5875        201        100        201        RAS
13        34        20        aupe-merge        rho1        99.0875        201        100        201        RAS
13        34        30        aupe-merge        rho1        98.31875        201        100        201        RAS
13        34        100        aupe-merge        rho1        93.4375        201        100        201        RAS
13        34        global        aupe-merge        rho1        93.4375        201        100        201        RAS
14        36        0        aupe-merge        rho1        99.7875        201        100        201        RAS
14        36        1        aupe-merge        rho1        99.7875        201        100        201        RAS
14        36        5        aupe-merge        rho1        99.76875        201        100        201        RAS
14        36        10        aupe-merge        rho1        99.68125        201        100        201        RAS
14        36        20        aupe-merge        rho1        99.25        201        100        201        RAS
14        36        30        aupe-merge        rho1        98.6375        201        100        201        RAS
14        36        100        aupe-merge        rho1        94.75        201        100        201        RAS
14        36        global        aupe-merge        rho1        94.75        201        100        201        RAS
15        38        0        aupe-merge        rho1        99.8375        201        100        201        RAS
15        38        1        aupe-merge        rho1        99.83125        201        100        201        RAS
15        38        5        aupe-merge        rho1        99.83125        201        100        201        RAS
15        38        10        aupe-merge        rho1        99.7375        201        100        201        RAS
15        38        20        aupe-merge        rho1        99.35        201        100        201        RAS
15        38        30        aupe-merge        rho1        98.84375        201        100        201        RAS
15        38        100        aupe-merge        rho1        95.8375        201        100        201        RAS
15        38        global        aupe-merge        rho1        95.8375        201        100        201        RAS
16        40        0        aupe-merge        rho1        99.875        201        100        201        RAS
16        40        1        aupe-merge        rho1        99.86875        201        100        201        RAS
16        40        5        aupe-merge        rho1        99.8625        201        100        201        RAS
16        40        10        aupe-merge        rho1        99.825        201        100        201        RAS
16        40        20        aupe-merge        rho1        99.475        201        100        201        RAS
16        40        30        aupe-merge        rho1        98.9375        201        100        201        RAS
16        40        100        aupe-merge        rho1        96.59375        201        100        201        RAS
16        40        global        aupe-merge        rho1        96.59375        201        100        201        RAS
17        42        0        aupe-merge        rho1        99.8875        201        100        201        RAS
17        42        1        aupe-merge        rho1        99.89375        201        100        201        RAS
